,sub_cluster,words,cluster
0,Dwellings for Animals,nest,(Super cluster 10: Animals)
1,Dwellings for Animals,zoo,(Super cluster 10: Animals)
2,Dwellings for Animals,aquarium,(Super cluster 10: Animals)
3,Dwellings for Animals,beehive,(Super cluster 10: Animals)
4,Dwellings for Animals,birdhouse,(Super cluster 10: Animals)
5,Dwellings for Animals,cocoon,(Super cluster 10: Animals)
6,Dwellings for Animals,hive,(Super cluster 10: Animals)
7,Baby Animals,bunny,(Super cluster 10: Animals)
8,Baby Animals,calf,(Super cluster 10: Animals)
9,Baby Animals,cub,(Super cluster 10: Animals)
10,Baby Animals,kitten,(Super cluster 10: Animals)
11,Baby Animals,pup,(Super cluster 10: Animals)
12,Baby Animals,puppy,(Super cluster 10: Animals)
13,Baby Animals,tadpole,(Super cluster 10: Animals)
14,Parts of Animals,feather,(Super cluster 10: Animals)
15,Parts of Animals,fur,(Super cluster 10: Animals)
16,Parts of Animals,hide,(Super cluster 10: Animals)
17,Parts of Animals,paw,(Super cluster 10: Animals)
18,Parts of Animals,tail,(Super cluster 10: Animals)
19,Parts of Animals,whisker,(Super cluster 10: Animals)
20,Parts of Animals,beak,(Super cluster 10: Animals)
21,Parts of Animals,bill,(Super cluster 10: Animals)
22,Parts of Animals,claw,(Super cluster 10: Animals)
23,Parts of Animals,fin,(Super cluster 10: Animals)
24,Parts of Animals,flipper,(Super cluster 10: Animals)
25,Parts of Animals,hoof,(Super cluster 10: Animals)
26,Parts of Animals,snout,(Super cluster 10: Animals)
27,Reptiles/Mythical Animals,alligator,(Super cluster 10: Animals)
28,Reptiles/Mythical Animals,dragon,(Super cluster 10: Animals)
29,Reptiles/Mythical Animals,frog,(Super cluster 10: Animals)
30,Reptiles/Mythical Animals,snake,(Super cluster 10: Animals)
31,Reptiles/Mythical Animals,toad,(Super cluster 10: Animals)
32,Reptiles/Mythical Animals,turtle,(Super cluster 10: Animals)
33,Reptiles/Mythical Animals,dinosaur,(Super cluster 10: Animals)
34,Reptiles/Mythical Animals,mermaid,(Super cluster 10: Animals)
35,Reptiles/Mythical Animals,monster,(Super cluster 10: Animals)
36,Sea Animals,fish,(Super cluster 10: Animals)
37,Sea Animals,seal,(Super cluster 10: Animals)
38,Sea Animals,whale,(Super cluster 10: Animals)
39,Sea Animals,salmon,(Super cluster 10: Animals)
40,Sea Animals,shark,(Super cluster 10: Animals)
41,Sea Animals,tuna,(Super cluster 10: Animals)
42,Sea Animals,jellyfish,(Super cluster 10: Animals)
43,Sea Animals,dolphin,(Super cluster 10: Animals)
44,Sea Animals,octopus,(Super cluster 10: Animals)
45,Sea Animals,seahorse,(Super cluster 10: Animals)
46,Birds,bird,(Super cluster 10: Animals)
47,Birds,chicken,(Super cluster 10: Animals)
48,Birds,crow,(Super cluster 10: Animals)
49,Birds,duck,(Super cluster 10: Animals)
50,Birds,eagle,(Super cluster 10: Animals)
51,Birds,fowl,(Super cluster 10: Animals)
52,Birds,goose,(Super cluster 10: Animals)
53,Birds,hen,(Super cluster 10: Animals)
54,Birds,jay,(Super cluster 10: Animals)
55,Birds,owl,(Super cluster 10: Animals)
56,Birds,parrot,(Super cluster 10: Animals)
57,Birds,robin,(Super cluster 10: Animals)
58,Birds,rooster,(Super cluster 10: Animals)
59,Birds,turkey,(Super cluster 10: Animals)
60,Primates,gorilla,(Super cluster 10: Animals)
61,Primates,monkey,(Super cluster 10: Animals)
62,Cats/Dogs,cat,(Super cluster 10: Animals)
63,Cats/Dogs,dog,(Super cluster 10: Animals)
64,Cats/Dogs,doggie,(Super cluster 10: Animals)
65,Cats/Dogs,fox,(Super cluster 10: Animals)
66,Cats/Dogs,lion,(Super cluster 10: Animals)
67,Cats/Dogs,tiger,(Super cluster 10: Animals)
68,Cats/Dogs,wolf,(Super cluster 10: Animals)
69,Cats/Dogs,bulldog,(Super cluster 10: Animals)
70,Cats/Dogs,collie,(Super cluster 10: Animals)
71,Rodents,mouse,(Super cluster 10: Animals)
72,Rodents,squirrel,(Super cluster 10: Animals)
73,Rodents,beaver,(Super cluster 10: Animals)
74,Rodents,groundhog,(Super cluster 10: Animals)
75,Rodents,hamster,(Super cluster 10: Animals)
76,Rodents,rat,(Super cluster 10: Animals)
77,Actions Related to Animals,fish,(Super cluster 10: Animals)
78,Actions Related to Animals,fly,(Super cluster 10: Animals)
79,Actions Related to Animals,hunt,(Super cluster 10: Animals)
80,Actions Related to Animals,trap,(Super cluster 10: Animals)
81,Actions Related to Animals,buck,(Super cluster 10: Animals)
82,Actions Related to Animals,gallop,(Super cluster 10: Animals)
83,Actions Related to Animals,soar,(Super cluster 10: Animals)
84,Actions Related to Animals,sting,(Super cluster 10: Animals)
85,Shellfish (And Others),lobster,(Super cluster 10: Animals)
86,Shellfish (And Others),shell,(Super cluster 10: Animals)
87,Shellfish (And Others),shrimp,(Super cluster 10: Animals)
